REFERENCIAS;cor;Peso;cor2;peso3;cor4;peso5;cor6;peso7;cor8;Coluna1
ELAST MTM 278 ENGOMADO 40MM;278;0.0078;BORRACHA PRETA 38;0.0052;;;;;;
FITA M32107 887 12MM ;887;0.0055;;;;;;;;
FITA M32107 884 12MM;884;0.0055;;;;;;;;
FITA M32107 278 12MM;278;0.0055;;;;;;;;
FITA M32107 351 15MM;351;0.0069;;;;;;;;
FITA M32107 140 15MM;140;0.0069;;;;;;;;
FITA MFGP 100 15MM;100;0.0058;;;;;;;;
FITA MFGP 278 15MM;278;0.0058;;;;;;;;
ELAST MTM 278 25MM;278;0.0072;BORRACHA PRETA 38;0.00068;;;;;;
FITA 726 127 10MM;127;0.0029;;;;;;;;
FITA 726 135 10MM;135;0.0029;;;;;;;;
FITA 726 143 10MM;143;0.0029;;;;;;;;
ATAC M16063 317 4MM;317;0.0031;ENCHIMENTO;0.00087;;;;;;
ATAC M16063 800 4MM;800;0.0031;ENCHIMENTO;0.00087;;;;;;
ATAC M16063 100/038 4MM;100;0.0029;38;0.00021;ENCHIMENTO;0.00087;;;;
ATAC M16063 108/100 4MM;108;0.0029;100;0.00021;ENCHIMENTO;0.00087;;;;
ATAC M10046 672 6MM;672;0.0028;ENCHIMENTO;0.00087;;;;;;
ATAC M10046 583 6MM;583;0.0028;ENCHIMENTO;0.00087;;;;;;
ATAC M13143 100/612;100;0.0029;612;0.00087;ENCHIMENTO;0.000827;;;;
ATAC M13143 100/107;100;0.0029;107;0.00087;ENCHIMENTO;0.000827;;;;
ATAC M13143 100/280;100;0.0029;280;0.00087;ENCHIMENTO;0.000827;;;;
ATAC 6ALF 278/460 6MM;278;0.0009;460;0.0022;ENCHIMENTO;0.00087;;;;
ATAC 6ALF 189/914 6MM;189;0.0009;914;0.0022;ENCHIMENTO;0.00087;;;;
ATAC M13054 032;32;0.0029;;;;;;;;
ATAC M13054 020;20;0.0029;;;;;;;;
ATAC M13054 066;66;0.0029;;;;;;;;
ATAC M13054 036;36;0.0029;;;;;;;;
ATAC M13054 303;303;0.0029;;;;;;;;
FITA MFGP 303 15MM;303;0.0058;;;;;;;;
FITA MFGP 267 15MM;267;0.0058;;;;;;;;
ATAC M13054 267;267;0.0029;;;;;;;;
ELAST CANELADO 291/1 10MM;291/1;0.0064;BORRACHA REVESTIDA BRANCA;0.00038;BORRACHA BRANCA 38;0.00084;;;;
ELAST CANELADO 255/1 10MM;255/1;0.0064;BORRACHA REVESTIDA BRANCA;0.00038;BORRACHA BRANCA 38;0.00084;;;;
ELAST CANELADO 339/1 10MM;339/1;0.0064;BORRACHA REVESTIDA BRANCA;0.00038;BORRACHA BRANCA 38;0.00084;;;;
ELAST TR-286 253 2,5MM;253;0.0029;BORRACHA BRANCA 28;0.00068;;;;;;
ELAST 16410 226 7MM;226;0.00085;BORRACHA PRETA 28;0.0008;BORRACHA REVESTIDA PRETA;0.00038;;;;
ELAST MER 001 2MM;1;0.002;BORRACHA PRETA 28;0.00068;;;;;;
ELAST MER 321 2MM;321;0.002;BORRACHA BRANCA 28;0.00068;;;;;;
ELAST MER 253 2MM;253;0.002;BORRACHA PRETA 28;0.00068;;;;;;
ELAST TR-286 001 2,5MM;1;0.0029;BORRACHA BRANCA 28;0.00068;;;;;;
FITA 726 289 15MM;289;0.0029;;;;;;;;
FITA 726 310 15MM;310;0.0029;;;;;;;;
ATAC M10046 468 6MM;468;0.0028;ENCHIMENTO;0.00087;;;;;;
ATAC M12020 100 9MM;100;0.0044;;;;;;;;
ATAC M12020 567 9MM;567;0.0044;;;;;;;;
ATAC M12020 104 9MM;104;0.0044;;;;;;;;
ATAC M12020 005 9MM;5;0.0044;;;;;;;;
CORDAO M9030 170 1,5MM;170;0.0009;;;;;;;;
FITA MFGP 253 12MM;253;0.0046;;;;;;;;
FITA MFGP 248 12MM;248;0.0046;;;;;;;;
ATAC 11628 310 7MM;310;0.0022;;;;;;;;
ATAC 11628 611 7MM;611;0.0022;;;;;;;;
ATAC 11628 312 7MM;312;0.0022;;;;;;;;
ATAC 3000 310 3MM;310;0.00089;ENCHIMENTO;0.00087;;;;;;
ATAC 3000 290 3MM;290;0.00089;ENCHIMENTO;0.00087;;;;;;
ATAC 14163 048 6MM;48;0.0028;ENCHIMENTO;0.00087;;;;;;
ATAC 14163 226 6MM;226;0.0028;ENCHIMENTO;0.00087;;;;;;
ATAC 14163 064 6MM;64;0.0028;ENCHIMENTO;0.00087;;;;;;
ATAC 14163 310 6MM;310;0.0028;ENCHIMENTO;0.00087;;;;;;
FITA 726 146 10MM;146;0.0029;;;;;;;;
FITA 726 064 15MM;64;0.0029;;;;;;;;
ELAST MTM 321 30MM;321;0.0072;BORRACHA BRANCA 38;0.00068;;;;;;
ATAC M12108 134/1P/LX PRATA 8MM;134/1;0.0029;LUREX PRATA;0.00087;;;;;;
ATAC M12108 101/1P/LX PRATA 8MM;101/1 LAVADO;0.0029;LUREX PRATA;0.00087;;;;;;
ATAC 6AL 024 6MM;24;0.0028;ENCHIMENTO;0.00087;;;;;;
ATAC 6AL 886 6MM;886;0.0028;ENCHIMENTO;0.00087;;;;;;
ATAC 6AL 140 6MM;140;0.0028;ENCHIMENTO;0.00087;;;;;;
ELAST MTM 024 ENGOMADO 40MM;24;0.0078;BORRACHA BRANCA 38;0.0052;;;;;;
ELAST MTM 140 ENGOMADO 40MM;140;0.0078;BORRACHA PRETA 38;0.0052;;;;;;
FITA M32107 024 12MM;24;0.0055;;;;;;;;
FITA M32107 140 12MM;140;0.0055;;;;;;;;
FITA MFGP 886 15MM;886;0.0058;;;;;;;;
FITA M41409 134/1P/NYLON 015 14MM;134/1P;0.0029;NYLON 015;0.00087;;;;;;
FITA M41409 481/1P/NYLON 015 14MM;481/1P;0.0029;NYLON 015;0.00087;;;;;;
FITA MDP 935/1P 13MM;935/1P;0.0029;;;;;;;;
ATAC M18006 045 ;935/1 RECICLADO;0.0054;ENCHIMENTO;0.00087;;;;;;
ELAST MTM 611 30MM;611;0.0072;BORRACHA PRETA 38;0.00068;;;;;;
ELAST MTM 290 30MM;290;0.0072;BORRACHA PRETA 38;0.00068;;;;;;
ATAC 14163 182 6MM;182;0.0028;ENCHIMENTO;0.00087;;;;;;
ELAST MER 100 2MM;100;0.002;BORRACHA PRETA 28;0.00068;;;;;;
ATAC 6ALF 100/365 6MM;100;0.0009;365;0.0022;ENCHIMENTO;0.00087;;;;
ATAC M18006 252;252;0.0054;ENCHIMENTO;0.00087;;;;;;
ATAC M18006 248;248;0.0054;ENCHIMENTO;0.00087;;;;;;
ATAC M6034 2203 OFF WHITE 8MM;2203;0.0077;;PESO ALTERADO 01/07/24;;;;;;
ELAST 16410 053 7MM;53;0.00085;BORRACHA BRANCA 28;0.0008;BORRACHA REVESTIDA BRANCA;0.00038;;;;
ELAST 16410 024 7MM;24;0.00085;BORRACHA BRANCA 28;0.0008;BORRACHA REVESTIDA BRANCA;0.00038;;;;
FITA 726 321 15MM;321;0.0029;;;;;;;;
FITA 726 024 15MM;24;0.0029;;;;;;;;
FITA 726 053 15MM;53;0.0029;;;;;;;;
FITA 726 226 15MM;226;0.0029;;;;;;;;
ATAC 3000 012 3MM;12;0.00089;ENCHIMENTO;0.00087;;;;;;
ATAC 3000 317 3MM;317;0.00089;ENCHIMENTO;0.00087;;;;;;
ATAC M13458 100/280 5MM;100;0.0029;280;0.00087;;;;;;
FITA 726 030 10MM;30;0.0029;;;;;;;;
FITA 726 169 10MM;169;0.0029;;;;;;;;
FITA 726 130 10MM;130;0.0029;;;;;;;;
FITA 726 059 15MM;59;0.0029;;;;;;;;
ELAST MTM 321 24MM;321;0.0072;BORRACHA BRANCA 38;0.00068;;;;;;
ELAST MTM 100 24MM;100;0.0072;BORRACHA PRETA 38;0.00068;;;;;;
ELAST MTM 310 24MM;310;0.0072;BORRACHA BRANCA 38;0.00068;;;;;;
ATAC M22024 210 6MM;210;0.0029;;;;;;;;
ATAC M22024 078 6MM;78;0.0029;;;;;;;;
ELAST CANELADO 187/1 10MM;187/1;0.0064;BORRACHA REVESTIDA BRANCA;0.00038;BORRACHA BRANCA 38;0.00084;;;;
ATAC M13139 100;100;0.0029;ENCHIMENTO;0.00087;;;;;;
FITA MFGP 189 15MM;189;0.0058;;;;;;;;
ATAC 11628 286 7MM;286;0.0022;;;;;;;;
ATAC M9022 077 3MM;77;0.00088;ENCHIMENTO;0.00087;;;;;;
FITA 726 303 10MM;303;0.0029;;;;;;;;
ATAC 6ALF 104/947 6MM;104;0.0009;947;0.0022;ENCHIMENTO;0.00087;;;;
ATAC 6ALF 740/100 6MM;740;0.0009;100;0.0022;ENCHIMENTO;0.00087;;;;
ATAC 6ALF 740/951 6MM;740;0.0009;951;0.0022;ENCHIMENTO;0.00087;;;;
FITA MDP 834/1P 13MM;834/1P;0.0032;;;;;;;;
ATAC 11628 071 7MM;834/1;0.0022;;;;;;;;
ATAC M22024 100 6MM;100;0.0029;;;;;;;;
ATAC M9022 021 3MM;21;0.00088;ENCHIMENTO;0.00087;;;;;;
ATAC 3000 229 3MM;229;0.00089;ENCHIMENTO;0.00087;;;;;;
ATAC M16063 494;494;0.0031;ENCHIMENTO;0.00087;;;;;;
ATAC M16063 102;102 LAVADO;0.0031;ENCHIMENTO;0.00087;;;;;;
FITA M3118 100 15MM;100;0.007;;;;;;;;
FITA M3118 612 15MM;612;0.007;;;;;;;;
FITA M3118 513 15MM;513;0.007;;;;;;;;
ATAC 11628 001 7MM;1;0.0022;;;;;;;;
ATAC 11628 130 7MM;130;0.0022;;;;;;;;
ATAC 3000 321 3MM;321;0.00089;ENCHIMENTO;0.00087;;;;;;
ATAC M9022 270 3MM;270;0.00088;ENCHIMENTO;0.00087;;;;;;
FITA MDP 2T 758/1P GRISS 15MM;758/1P;0.0032;;;;;;;;
ATAC M12026 004 8MM;4;0.0029;;;;;;;;
ATAC M12026 104 8MM;104;0.0029;;;;;;;;
ATAC M21020 496/1P 8MM;496/1 RECICLADO;0.0031;;;;;;;;
ATAC M21020 084/1P 8MM;084/1 RECICLADO;0.0031;;;;;;;;
ATAC M21020 276/1P 8MM;276/1 RECCLADO;0.0031;;;;;;;;
ATAC M21020 290/1P 8MM ;290/1 RECICLADO;0.0031;;;;;;;;
ATAC M10046 135 6MM ;135;0.0028;ENCHIMENTO;0.00087;;;;;;
ATAC M10046 292 6MM;292;0.0028;ENCHIMENTO;0.00087;;;;;;
FITA M32107 292 15MM;292;0.0069;;;;;;;;
FITA M32139 100/291 15MM;100;0.0029;291;0.00087;;;;;;
ATAC M10030 180/533 6MM;180;0.0029;533;0.00087;ENCHIMENTO;0.0021;;;;
ATAC M10030 975/189 6MM;975;0.0029;189;0.00087;ENCHIMENTO;0.0021;;;;
ATAC M10046 247 6MM;247;0.0028;ENCHIMENTO;0.00087;;;;;;
FITA M32107 975 15MM;975;0.0069;;;;;;;;
ELAST CANELADO 018/102/299 REFLEXX 10MM;018/1;0.0038;102/1;0.00072;299/1;0.00072;BORRACHA BRANCA 38 ;0.0023;;
ELAST CANELADO 102/068/084 REFLEXX 10MM;481/1;0.0038;068/1;0.00072;084/1;0.00072;BORRACHA BRANCA 38 ;0.0023;;
ELAST CANELADO 018/102/100 REFLEXX 10MM;018/1;0.0038;102/1 ;0.00072;100/1 ;0.00072;BORRACHA BRANCA 38 ;0.0023;;
ELAST CANELADO 113/102/049 REFLEXX 10MM;113/1;0.0038;102/1;0.00072;049/1;0.00072;BORRACHA BRANCA 38 ;0.0023;;
ELAST 16410 063 7MM;63;0.00085;BORRACHA PRETA 28;0.0008;BORRACHA REVESTIDA PRETA;0.00038;;;;
FITA 726 312 15MM;312;0.0029;;;;;;;;
ATAC M9022 104 3MM;104;0.00088;ENCHIMENTO;0.00087;;;;;;
ATAC M9022 005 3MM;5;0.00088;ENCHIMENTO;0.00087;;;;;;
ATAC M9022 229 3MM;229;0.00088;ENCHIMENTO;0.00087;;;;;;
ATAC M9022 001 3MM;1;0.00088;ENCHIMENTO;0.00087;;;;;;
ATAC M9022 052 3MM;52;0.00088;ENCHIMENTO;0.00087;;;;;;
ATAC 14163 303 6MM;303;0.0028;ENCHIMENTO;0.00087;;;;;;
ELAST 16410 310 7MM;310;0.00085;BORRACHA BRANCA 28;0.0008;BORRACHA REVESTIDA BRANCA;0.00038;;;;
FITA 726 253 10MM;253;0.0029;;;;;;;;
ATAC M18006 243;243;0.0054;ENCHIMENTO;0.00087;;;;;;
ATAC MFP 226 15MM;226;0.0075;;;;;;;;
ATAC MFP 100 15MM;100;0.0075;;;;;;;;
ATAC MFP 102 15MM;102 LAVADO;0.0075;;;;;;;;
ATAC 3000 077 3MM;77;0.00089;ENCHIMENTO;0.00087;;;;;;
ATAC 11628 059 7MM;59;0.0022;;;;;;;;
ATAC 11628 127 7MM;127;0.0022;;;;;;;;
ATAC 11628 024 7MM;24;0.0022;;;;;;;;
ATAC 11628 053 7MM;53;0.0022;;;;;;;;
ATAC M9022 253 3MM;253;0.00088;ENCHIMENTO;0.00087;;;;;;
ATAC M9022 119 3MM;119;0.00088;ENCHIMENTO;0.00087;;;;;;
ELAST MER 300 2MM;300;0.002;BORRACHA PRETA 28;0.00068;;;;;;
ATAC MFP 303 15MM;303;0.0075;;;;;;;;
ATAC M12020 242 9MM;242;0.0044;;;;;;;;
ATAC M12020 099 9MM;99;0.0044;;;;;;;;
ATAC M12026 758 8MM;758;0.0029;;;;;;;;
CORDAO 3000/6 021 4MM;21;0.0029;ENCHIMENTO;0.00087;;;;;;
CORDAO 3000/6 237/189 4MM;237;0.0029;189;0.00087;ENCHIMENTO;0.0024;;;;
CORDAO 3000/6 100/137 4MM;100;0.0029;137;0.00087;ENCHIMENTO;0.0024;;;;
ATAC M10046 377 6MM;377;0.0028;ENCHIMENTO;0.00087;;;;;;
FITA M32107 338 15MM;338;0.0069;;;;;;;;
ATAC 3000 084 3MM;84;0.00089;ENCHIMENTO;0.00087;;;;;;
ATAC 11628 134 7MM;134;0.0022;;;;;;;;
ATAC 6ALF 954/100 6MM;954;0.0009;100;0.0022;ENCHIMENTO;0.00087;;;;
ELAST CANELADO 183/1 10MM;183/1;0.0064;BORRACHA REVESTIDA PRETA;0.00038;BORRACHA PRETA 38;0.00084;;;;
ATAC M10046 338 6MM;338;0.0028;ENCHIMENTO;0.00087;;;;;;
FITA M1308 165 10MM;165;0.0029;;;;;;;;
FITA M1308 162 10MM;162;0.0029;;;;;;;;
FITA MDP 706/1P 13MM;706/1P;0.0029;;;;;;;;
FITA MDP 044/1P 13MM;044/1P;0.0029;;;;;;;;
ATAC 11628 169 7MM;169;0.0022;;;;;;;;
ATAC 3000 051 3MM;51;0.00089;ENCHIMENTO;0.00087;;;;;;
ATAC M5132 100/312 5MM;100;0.0029;312;0.00087;;;;;;
ATAC M5132 104/427 5MM;104;0.0029;427;0.00087;;;;;;
ATAC M5132 024/801 5MM;24;0.0029;801;0.00087;;;;;;
ELAST 16410 312 7MM;312;0.00085;BORRACHA PRETA 28;0.0008;BORRACHA REVESTIDA PRETA;0.00038;;;;
ELAST 16410 241 7MM;241;0.00085;BORRACHA BRANCA 28;0.0008;BORRACHA REVESTIDA BRANCA;0.00038;;;;
ELAST 16410 052 7MM;52;0.00085;BORRACHA BRANCA 28;0.0008;BORRACHA REVESTIDA BRANCA;0.00038;;;;
ATAC M5132 916/801 5MM;916;0.0029;801;0.00087;;;;;;
ATAC 6ALF 024/954 6MM;24;0.0009;954;0.0022;ENCHIMENTO;0.00087;;;;
ATAC 6ALF 169/104 6MM;169;0.0009;104;0.0022;ENCHIMENTO;0.00087;;;;
ATAC 6ALF 254/104 6MM;254;0.0009;104;0.0022;ENCHIMENTO;0.00087;;;;
ATAC 6ALF 794/100 6MM;794;0.0009;100;0.0022;ENCHIMENTO;0.00087;;;;
ATAC 6ALF 444/951 6MM;444;0.0009;951;0.0022;ENCHIMENTO;0.00087;;;;
ATAC M13473 100/087 ;100;0.0029;87;0.00087;;;;;;
ATAC M13473 100/275;100;0.0029;275;0.00087;;;;;;
ATAC M13473 315/140;315;0.0029;140;0.00087;;;;;;
ATAC M13473 174/334 ;174;0.0029;334;0.00087;;;;;;
ATAC M13473 102/058;102 LAVADO;0.0029;58;0.00087;;;;;;
FITA MFP 939 10MM;939;0.0054;;;;;;;;
FITA MFP 315 10MM;315;0.0054;;;;;;;;
FITA MFP 278 10MM;278;0.0054;;;;;;;;
FITA MFP 334 10MM;334;0.0054;;;;;;;;
ATAC M10109 MESCLA CINZA/PRETO 6MM;MESCLA CINZA/PRETO;0.0029;513;0.00087;ENCHIMENTO;0.00087;;;;
ATAC M13143 100/315;100;0.0029;315;0.00087;ENCHIMENTO;0.000827;;;;
ATAC M10030 164/278 6MM;164;0.0029;278;0.00087;ENCHIMENTO;0.0021;;;;
ATAC M10030 194/100 6MM;194;0.0029;100;0.00087;ENCHIMENTO;0.0021;;;;
ATAC M10030 278/220 6MM;278;0.0029;220;0.00087;ENCHIMENTO;0.0021;;;;
ATAC M10030 209/101 6MM;209;0.0029;101;0.00087;ENCHIMENTO;0.0021;;;;
ATAC M10046 492 6MM;492;0.0028;ENCHIMENTO;0.00087;;;;;;
ATAC 3000 045 3MM;45;0.00089;ENCHIMENTO;0.00087;;;;;;
ATAC 3000 140 3MM;140;0.00089;ENCHIMENTO;0.00087;;;;;;
ATAC 3000 182 3MM;182;0.00089;ENCHIMENTO;0.00087;;;;;;
ATAC M12020 004 9MM;4;0.0044;;;;;;;;
ATAC M12026 567 8MM;567;0.0029;;;;;;;;
ATAC 11628 117 7MM;117;0.0022;;;;;;;;
ELAST 16410 096 7MM;96;0.00085;BORRACHA BRANCA 28;0.0008;BORRACHA REVESTIDA BRANCA;0.00038;;;;
ATAC 11628 146 7MM;146;0.0022;;;;;;;;
ATAC M22019 573 8MM;573;0.0029;;;;;;;;
ATAC M22019 145 8MM;145;0.0029;;;;;;;;
ATAC M22019 830 8MM;830;0.0029;;;;;;;;
ATAC M10109 MESCLA PETROLEOII/PRETO 6MM;MESCLA PETROLEOII/PRETO;0.0029;451;0.00087;ENCHIMENTO;0.00087;;;;
ATAC M12125 100/1P 6MM;100/1 RECICLADO;0.0031;TRAMA 100/1;0.00012;;;;;;
ATAC M12125 995/1P SOLAR GREEN 6MM;995/1 RECICLADO;0.0031;;;;;;;;
ATAC M9022 158 3MM;158;0.00088;ENCHIMENTO;0.00087;;;;;;
FITA MDP 251/1P 13MM;251/1P;0.0029;;;;;;;;
ELAST CANELADO 018/1 10MM;018/1 ;0.0064;BORRACHA REVESTIDA BRANCA;0.00038;BORRACHA BRANCA 38;0.00084;;;;
ELAST CANELADO 225/1 10MM;225/1 ;0.0064;BORRACHA REVESTIDA PRETA;0.00038;BORRACHA PRETA 38;0.00084;;;;
ATAC M10109 MESCLA 983/PRETO 6MM;MESCLA 983/PRETO;0.0029;60;0.00087;ENCHIMENTO;0.00087;;;;
ATAC M13054 036 ;36;0.0029;;;;;;;;
ATAC 6AL 416 6MM;416;0.0028;ENCHIMENTO;0.00087;;;;;;
AT 11628 FIBRA 045 120CM 18MM xs043...........;;0.0022;;;;;;;;
AT 11628 FIBRA 045 130CM 18MM xs043...........;;0.0022;;;;;;;;
ATAC 6AL 135 6MM;135;0.0028;ENCHIMENTO;0.00087;;;;;;
ATAC M21020 ACQUA/1P 8MM;ACQUA/1;0.0031;;;;;;;;
ELAST 16410 134 7MM;134;0.00085;BORRACHA PRETA 28;0.0008;BORRACHA REVESTIDA PRETA;0.00038;;;;
ATAC 6AL 100 6MM OVAL BCO ;100;0.0028;ENCHIMENTO;0.00087;*OVAL BRANCO;0.00006;;;;
ATAC 6AL 145 6MM OVAL BCO;145;0.0028;ENCHIMENTO;0.00087;*OVAL BRANCO;0.00006;;;;
ATAC 6AL 494 6MM OVAL BCO;494;0.0028;ENCHIMENTO;0.00087;*OVAL BRANCO;0.00006;;;;
ATAC M21020 021/1P 8MM;021/1 RECICLADO;0.0031;;;;;;;;
ATAC M10109 MESCLA 984/PRETO 6MM;MESCLA 984/PRETO;0.0029;794;0.00087;ENCHIMENTO;0.00087;;;;
ATAC M13054 176;176;0.0029;;;;;;;;
ATAC M13054 219;219;0.0029;;;;;;;;
ATAC M13054 102;102 LAVADO;0.0029;;;;;;;;
ATAC M4000/4 100 C/ ENCHIMENTO;100;0.0054;;;;;;;;
ATAC M12119 100/1 8MM;100/1 RECICLADO;0.0042;;;;;;;;
ATAC M12119 4006/1 GREY FOUR 8MM;4006;0.0042;;;;;;;;
ATAC M10046 4006 GREY FOUR 6MM;4006;0.0028;ENCHIMENTO;0.00087;;;;;;
ATAC M10046 852 6MM;852;0.0028;ENCHIMENTO;0.00087;;;;;;
ATAC M10046 4028 CHALK CORAL 6MM;4028;0.0028;ENCHIMENTO;0.00087;;;;;;
ATAC M13476 4005 ZEST 5MM;4005;0.0042;;;;;;;;
ATAC M13476 100 5MM;100;0.0042;;;;;;;;
ATAC M12125 101/1P 6MM;101/1 LAVADO;0.0031;;;;;;;;
ATAC 3000/2-32 100;100;0.0037;ENCHIMENTO;0.00087;;;;;;
ATAC 3000/2-32 101 CLOUD WHITE;101 LAVADO;0.0037;ENCHIMENTO;0.00087;;;;;;
ATAC 3000/2-32 102 ;102 LAVADO;0.0037;ENCHIMENTO;0.00087;;;;;;
ATAC M13476 4037 MET.SILVER 5MM;4037;0.0042;;;;;;;;
ATAC M13476 996 SOLAR RED 5MM;996;0.0042;;;;;;;;
ATAC M10046 942 6MM;942;0.0028;ENCHIMENTO;0.00087;;;;;;
ATAC M13476 4029 RED 6MM;4029;0.0042;;;;;;;;
FITA M32144 059/102/084 35MM;59;0.0029;102 LAVADO;0.00087;84;0.0024;;;;
ATAC 14163 170/290 6MM;170;0.002;290;0.0024;ENCHIMENTO;0.00087;;;;
ATAC 14163 226/030 6MM;226;0.002;30;0.0024;ENCHIMENTO;0.00087;;;;
ATAC M10109 MESCLA PETALA/PRETO 6MM;MESCLA PETALA/PRETO;0.0029;MESCLA PETALA/PRETO;0.00087;ENCHIMENTO;0.00087;;;;
ATAC M10109 MESCLA 149/100 6MM;MESCLA 149/100;0.0029;MESCLA 149/100;0.00087;ENCHIMENTO;0.00087;;;;
ATAC M4000/4 724 ;724;0.0054;;;;;;;;
FITA 726 048 15MM;48;0.0029;;;;;;;;
FITA KK 100 10MM;100;0.0029;;;;;;;;
ATAC M15081 310/102 7MM;310;0.0029;102 LAVADO;0.00087;;;;;;
ATAC M9022 007 3MM;7;0.00088;ENCHIMENTO;0.00087;;;;;;
ATAC M12128 100 8MM;100;0.0021;;;;;;;;
ATAC M12128 020 8MM;20;0.0021;;;;;;;;
ATAC M12128 102 8MM;102 LAVADO;0.0021;;;;;;;;
FITA MFGEL 100/1P 12MM;100/1P;0.0029;;;;;;;;
ATAC M13476 906 6MM;906;0.0042;;;;;;;;
ATAC M13476 065 6MM;65;0.0042;;;;;;;;
ATAC M12125 4041/1P OFF WHITE 6MM;4041/1 RECICLADO;0.0031;;;;;;;;
ATAC M10046 DARK BLUE 6MM;DARK BLUE (POLIESTER);0.0028;ENCHIMENTO;0.00087;;;;;;
ATAC M10046 GREY FOUR 6MM;4006;0.0028;ENCHIMENTO;0.00087;;;;;;
ATAC M13476 4030 ASH SILVER 6MM;4030;0.0042;;;;;;;;
ATAC M13054 066 ;66;0.0029;;;;;;;;
ATAC M13054 183 ;183;0.0029;;;;;;;;
FITA MFGP 226 10MM;226;0.0036;;;;;;;;
FITA MFGP 100 10MM;100;0.0036;;;;;;;;
FITA MFGP 140 10MM;140;0.0036;;;;;;;;
ATAC M15081 321/102 7MM;321;0.0029;102 LAVADO;0.00087;;;;;;
ELAST TR-286 226 2.5MM;226;0.0029;BORRACHA BRANCA 28;0.00068;;;;;;
ELAST TR-286 140 2.5MM;140;0.0029;BORRACHA PRETA 28;0.00068;;;;;;
ATAC M16100 501 OVAL BCO;501;0.0029;ENCHIMENTO;0.00087;*OVAL BRANCO;0.00006;;;;
ATAC M16100 274 OVAL PTO;274;0.0029;ENCHIMENTO;0.00087;*OVAL PRETO;0.00006;;;;
ATAC M16100 494 OVAL BCO;494;0.0029;ENCHIMENTO;0.00087;*OVAL BRANCO;0.00006;;;;
ELAST MTM 501 50MM;501;0.0072;BORRACHA PRETA 38;0.00068;;;;;;
ELAST MTM 274 50MM;274;0.0072;BORRACHA PRETA 38;0.00068;;;;;;
ELAST MTM 494 50MM;494;0.0072;BORRACHA PRETA 38;0.00068;;;;;;
ATAC M12020 102 10MM;533;0.0044;;;;;;;;
ATAC M12020 066 10MM;66;0.0044;;;;;;;;
ATAC M12020 100 10MM;100;0.0044;;;;;;;;
ATAC M12020 303 10MM;303;0.0044;;;;;;;;
ATAC M15081 063/100 7MM;63;0.0029;100;0.00087;;;;;;
CORDAO M9030 175 1,5MM;175;0.0009;;;;;;;;
FITA MFGP 296 15MM;296;0.0058;;;;;;;;
ATAC M13054 296 ;296;0.0029;;;;;;;;
ELAST 16410 334/LUREX PRATA 7MM;334;0.000132;LUREX PRATA;0.00016;BORRACHA PRETA 28;0.0035;;;;
ATAC 6ALF 922/954 6MM;922;0.0009;954;0.0022;ENCHIMENTO;0.00087;;;;
ATAC 6ALF 446/104 6MM;446;0.0009;104;0.0022;ENCHIMENTO;0.00087;;;;
FITA M32144 100/102/035 35MM;100;0.0029;102 LAVADO;0.00087;35;0.0024;;;;
FITA M32144 119/186/102 35MM;119;0.0029;186;0.00087;102 LAVADO;0.0024;;;;
ATAC 6ALF 416/312 6MM;416;0.0009;312;0.0022;ENCHIMENTO;0.00087;;;;
ATAC 14163 122/200 6MM;122;0.002;200;0.0024;ENCHIMENTO;0.00087;;;;
ATAC 14163 048/334 6MM;48;0.002;334;0.0024;ENCHIMENTO;0.00087;;;;
ATAC 14163 253/321 6MM;253;0.002;321;0.0024;ENCHIMENTO;0.00087;;;;
ATAC 14163 312/100 6MM;312;0.002;100;0.0024;ENCHIMENTO;0.00087;;;;
ATAC 14163 290/333 6MM;290;0.002;333;0.0024;ENCHIMENTO;0.00087;;;;
ATAC 14163 100/248 6MM;100;0.002;248;0.0024;ENCHIMENTO;0.00087;;;;
ATAC M16100 535 OVAL BCO;535;0.0029;ENCHIMENTO;0.00087;*OVAL BRANCO;0.00006;;;;
ELAST MTM 535 50MM;535;0.0072;BORRACHA PRETA 38;0.00068;;;;;;
ELAST CANELADO 148/1 10MM ;148/1;0.0064;BORRACHA REVESTIDA BRANCA;0.00038;BORRACHA BRANCA 38;0.00084;;;;
ATAC 6ALF 100/191 6MM;100;0.0009;191;0.0022;ENCHIMENTO;0.00087;;;;
ATAC M12015 301 8MM;301;0.0039;;;;;;;;
ATAC M10046 906 6MM;906;0.0028;ENCHIMENTO;0.00087;;;;;;
ELAST 16410 142 7MM;142;0.00085;BORRACHA BRANCA 28;0.0008;BORRACHA REVESTIDA BRANCA;0.00038;;;;
ELAST CANELADO 329/1 10MM;329/1;0.0064;BORRACHA REVESTIDA BRANCA;0.00038;BORRACHA BRANCA 38;0.00084;;;;
ATAC 11628 240 7MM;240;0.0022;;;;;;;;
ATAC 11628 025 7MM;25;0.0022;;;;;;;;
ATAC M18006 180;180;0.0054;ENCHIMENTO;0.00087;;;;;;
ATAC M18006 242;242;0.0054;ENCHIMENTO;0.00087;;;;;;
ATAC M13475 573;573;0.0029;;;;;;;;
FITA MFGEL 494/1P 15MM;494/1P;0.0029;;;;;;;;
FITA MFGEL 059/1P 15MM;059/1P;0.0029;;;;;;;;
ATAC M8081 2170 7MM;2170;0.0037;;;;;;;;
ATAC M13054 057;57;0.0029;;;;;;;;
FITA MFGP 305 15MM;305;0.0058;;;;;;;;
ATAC M12015 4068 RATO FOSCO 8MM;4068;0.0039;;;;;;;;
